timestamp,old_name,new_name,author,year
2026-02-04T17:44:22,Bundle-Size Pricing as an Approximation to Mixed Bundling.pdf,Bundle-Size Pricing as an Approximation to Mixed Bundling - Chu et al. (2010).pdf,Chu et al.,2010
2026-02-04T17:44:22,Calorie Posting in Chain Restaurants.pdf,Calorie Posting in Chain Restaurants - Bollinger et al. (2011).pdf,Bollinger et al.,2011
2026-02-04T17:44:22,Impact of Restaurant Hygiene Grade Cards on Foodborne-Disease Hospitalizations in Los Angeles County.pdf,Impact of Restaurant Hygiene Grade Cards on Foodborne-Disease Hospitalizations in Los Angeles County - Simon et al. (1998).pdf,Simon et al.,1998
2026-02-04T17:44:22,Incomplete Disclosure Evidence of Signaling and Countersignaling.pdf,Incomplete Disclosure Evidence of Signaling and Countersignaling - Bederson et al. (2018).pdf,Bederson et al.,2018
2026-02-04T17:44:22,Incomplex Alternatives to Mixed Bundling.pdf,Incomplex Alternatives to Mixed Bundling - May et al. (2006).pdf,May et al.,2006
2026-02-04T17:44:22,Information Entrepreneurs and Competition in Procurement Auctions.pdf,Information Entrepreneurs and Competition in Procurement Auctions - COMPETITION (2005).pdf,COMPETITION,2005
2026-02-04T17:44:22,Information to Users.pdf,Information to Users - Thus et al. (2014).pdf,Thus et al.,2014
2026-02-04T17:44:22,Managerial Incentives and Strategic Change Evidence from Private Equity.pdf,Managerial Incentives and Strategic Change Evidence from Private Equity - Incentives et al. (2008).pdf,Incentives et al.,2008
2026-02-04T17:44:22,Nearly Optimal Pricing for Multiproduct Firms.pdf,Nearly Optimal Pricing for Multiproduct Firms - Cambridge et al. (2008).pdf,Cambridge et al.,2008
2026-02-04T17:44:22,The Welfare Effects of Ticket Resale.pdf,The Welfare Effects of Ticket Resale - Cambridge et al. (2009).pdf,Cambridge et al.,2009
2026-02-04T17:44:22,Ticket Resale.pdf,Ticket Resale - Leslie et al. (2007).pdf,Leslie et al.,2007
2026-02-04T17:57:06,Bundle-Size Pricing as an Approximation to Mixed Bundling.pdf,Bundle-Size Pricing as an Approximation to Mixed Bundling - Leslie et al. (2010).pdf,Leslie et al.,2010,metadata
2026-02-04T17:57:06,Calorie Posting in Chain Restaurants.pdf,Calorie Posting in Chain Restaurants - Leslie et al. (2011).pdf,Leslie et al.,2011,page
2026-02-04T17:57:06,Incomplete Disclosure Evidence of Signaling and Countersignaling.pdf,Incomplete Disclosure Evidence of Signaling and Countersignaling - Leslie et al. (2018).pdf,Leslie et al.,2018,page
2026-02-04T17:57:06,Incomplex Alternatives to Mixed Bundling.pdf,Incomplex Alternatives to Mixed Bundling - Chu et al. (2006).pdf,Chu et al.,2006,page
2026-02-04T17:57:06,Information Entrepreneurs and Competition in Procurement Auctions.pdf,Information Entrepreneurs and Competition in Procurement Auctions - Leslie et al. (2021).pdf,Leslie et al.,2021,metadata
2026-02-04T17:57:06,Managerial Incentives and Strategic Change Evidence from Private Equity.pdf,Managerial Incentives and Strategic Change Evidence from Private Equity - Leslie et al. (2008).pdf,Leslie et al.,2008,page
2026-02-04T17:57:06,Nearly Optimal Pricing for Multiproduct Firms.pdf,Nearly Optimal Pricing for Multiproduct Firms - Chu et al. (2008).pdf,Chu et al.,2008,page
2026-02-04T17:57:06,The Welfare Effects of Ticket Resale.pdf,The Welfare Effects of Ticket Resale - Leslie et al. (2009).pdf,Leslie et al.,2009,page
2026-02-04T17:57:06,Ticket Resale.pdf,Ticket Resale - Leslie et al. (2007).pdf,Leslie et al.,2007,page
2026-02-04T18:00:13,Bundle-Size Pricing as an Approximation to Mixed Bundling.pdf,Bundle-Size Pricing as an Approximation to Mixed Bundling - Chu et al. (2010).pdf,Chu et al.,2010,metadata
2026-02-04T18:00:13,Calorie Posting in Chain Restaurants.pdf,Calorie Posting in Chain Restaurants - Bollinger et al. (2011).pdf,Bollinger et al.,2011,page
2026-02-04T18:00:13,Impact of Restaurant Hygiene Grade Cards on Foodborne-Disease Hospitalizations in Los Angeles County.pdf,Impact of Restaurant Hygiene Grade Cards on Foodborne-Disease Hospitalizations in Los Angeles County - Simon et al. (2005).pdf,Simon et al.,2005,metadata
2026-02-04T18:00:13,Incomplete Disclosure Evidence of Signaling and Countersignaling.pdf,Incomplete Disclosure Evidence of Signaling and Countersignaling - Bederson et al. (2018).pdf,Bederson et al.,2018,page
2026-02-04T18:00:13,Incomplex Alternatives to Mixed Bundling.pdf,Incomplex Alternatives to Mixed Bundling - Chu et al. (2006).pdf,Chu et al.,2006,page
2026-02-04T18:00:13,Information Entrepreneurs and Competition in Procurement Auctions.pdf,Information Entrepreneurs and Competition in Procurement Auctions - Leslie et al. (2021).pdf,Leslie et al.,2021,metadata
2026-02-04T18:00:13,Managerial Incentives and Strategic Change Evidence from Private Equity.pdf,Managerial Incentives and Strategic Change Evidence from Private Equity - Leslie et al. (2008).pdf,Leslie et al.,2008,page
2026-02-04T18:00:13,Nearly Optimal Pricing for Multiproduct Firms.pdf,Nearly Optimal Pricing for Multiproduct Firms - Chu et al. (2008).pdf,Chu et al.,2008,page
2026-02-04T18:00:13,The Welfare Effects of Ticket Resale.pdf,The Welfare Effects of Ticket Resale - Leslie et al. (2009).pdf,Leslie et al.,2009,page
2026-02-04T18:00:13,Ticket Resale.pdf,Ticket Resale - Leslie et al. (2007).pdf,Leslie et al.,2007,page
